eventName,eventLabel,date,city,country,deviceCategory,browser,sessionSourceMedium,pagePath,eventCount,userEngagementDuration,engagedSessions,screenPageViews
session_start,,20250415,Johnstown,United States,mobile,Safari,(direct) / (none),/app_new/,1,0,0,0
session_start,,20250415,New York,United States,mobile,Android Webview,(direct) / (none),/app_new/,1,0,1,0
session_start,,20250415,New York,United States,mobile,Safari,(direct) / (none),/app_new/,1,0,1,0
session_start,,20250416,Ashburn,United States,desktop,Chrome,(direct) / (none),/app_new/,1,0,0,0
session_start,,20250416,Ashburn,United States,desktop,Safari,(direct) / (none),/app_new/,1,0,0,0
session_start,,20250416,Boston,United States,desktop,Safari,(direct) / (none),/app_new/,1,0,0,0
session_start,,20250416,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,1,0,1,0
session_start,,20250418,(not set),(not set),mobile,Chrome,(direct) / (none),/app_new/,1,0,1,0
session_start,,20250418,Ashburn,United States,desktop,Chrome,(direct) / (none),/app_new/,1,0,0,0
session_start,,20250418,Atlanta,United States,desktop,Safari,(direct) / (none),/app_new/,1,0,1,0
session_start,,20250418,Hialeah Gardens,United States,desktop,Chrome,(direct) / (none),/app_new/,1,0,1,0
session_start,,20250418,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,1,0,1,0
session_start,,20250419,(not set),China,mobile,Android Webview,(direct) / (none),/app_new/,1,0,0,0
session_start,,20250419,(not set),United States,desktop,Chrome,(direct) / (none),/app_new/,1,0,0,0
session_start,,20250419,Ashburn,United States,mobile,Safari,(direct) / (none),/app_new/,1,0,0,0
session_start,,20250419,Boston,United States,mobile,Safari (in-app),(direct) / (none),/app_new/,1,0,1,0
session_start,,20250419,Chicago,United States,desktop,Chrome,(direct) / (none),/app_new/,1,0,1,0
session_start,,20250419,Fort Lee,United States,mobile,Safari (in-app),(direct) / (none),/app_new/,1,0,1,0
session_start,,20250419,New York,United States,desktop,Chrome,(direct) / (none),/app_new/,1,0,1,0
session_start,,20250419,New York,United States,mobile,Safari,(direct) / (none),/app_new/,1,0,0,0
session_start,,20250419,Rochester,United States,mobile,Safari,(direct) / (none),/app_new/,1,0,0,0
session_start,,20250419,Shenyang,China,desktop,Chrome,(direct) / (none),/app_new/,1,0,1,0
session_start,,20250419,Surrey,Canada,mobile,Safari (in-app),(direct) / (none),/app_new/,1,0,1,0
session_start,,20250419,Toronto,Canada,mobile,Safari (in-app),(direct) / (none),/app_new/,1,0,1,0
session_start,,20250419,Vancouver,Canada,mobile,Safari (in-app),(direct) / (none),/app_new/,1,0,1,0
session_start,,20250420,(not set),China,desktop,Chrome,(direct) / (none),/app_new/,1,0,1,0
session_start,,20250421,Rib Lake,United States,desktop,Safari,(direct) / (none),/app_new/,1,0,1,0
user_engagement,,20250415,Johnstown,United States,mobile,Safari,(direct) / (none),/app_new/,1,5,0,0
user_engagement,,20250415,New York,United States,mobile,Android Webview,(direct) / (none),/app_new/,1,17,1,0
user_engagement,,20250415,New York,United States,mobile,Safari,(direct) / (none),/app_new/,1,1,1,0
